CustomerID,FirstName,LastName,Email,Phone,Gender,Age,Country,City,Segment,RegistrationDate,IsActive,CreditLimit,PreferredPayment,TenureDays,TotalOrders,TotalRevenue,TotalNetRevenue,AvgOrderValue,MaxOrderValue,TotalQuantity,FirstPurchaseDate,LastPurchaseDate,UniqueCategories,DaysSinceLastPurchase,DaysSinceFirstPurchase,OrderFrequencyPerMonth,CLV,TotalTransactions,TotalTransactionAmount,AvgTransactionAmount,IsChurned,RevenueTier,ETLTimestamp,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
CUST00001,Aiden,Perez,aiden.perez0@example.com,+44-7258-858889,Prefer not to say,56,Sweden,City_48,Startup,2024-09-20 07:33:32,True,46639.85,PayPal,101,3.0,3469.58,3432.27,1156.53,1441.81,16.0,2024-02-15 21:46:13,2024-10-09 01:43:49,2.0,82.0,318.0,0.2872,11947.14,12.0,14106.14,1175.51,0,High,2026-05-07 22:22:23.740018,3,2,1,6,Promising
CUST00002,Richard,Harris,richard.harris1@example.com,+44-7872-788457,Prefer not to say,46,United States,City_40,Individual,2022-06-22 22:43:23,True,28474.09,Bank Transfer,921,3.0,12100.81,12056.04,4033.6,5565.83,30.0,2024-05-29 07:05:24,2024-08-29 18:40:58,2.0,123.0,215.0,0.4247,61629.71,6.0,10056.22,1676.04,1,VIP,2026-05-07 22:22:23.740018,3,2,3,8,Potential Loyal
CUST00003,Thomas,Robinson,thomas.robinson2@example.com,+44-7987-731977,Female,46,Australia,City_16,SMB,2022-02-08 20:28:06,True,34984.22,Debit Card,1055,5.0,24452.2,24381.3,4890.44,9456.04,107.0,2024-04-08 12:15:12,2024-10-08 16:44:45,4.0,83.0,266.0,0.5722,100658.49,11.0,12618.2,1147.11,0,VIP,2026-05-07 22:22:23.740018,3,4,5,12,Loyal
CUST00004,John,Lee,john.lee3@example.com,+44-7894-257677,Non-binary,32,France,Unknown,Enterprise,2023-03-04 05:50:10,True,46163.72,Bank Transfer,667,4.0,11918.03,11845.09,2979.51,9269.52,64.0,2023-01-16 03:34:05,2024-02-13 20:38:15,3.0,320.0,714.0,0.1705,18277.65,15.0,15067.66,1004.51,1,VIP,2026-05-07 22:22:23.740018,1,3,3,7,At Risk
CUST00005,Mia,Gonzalez,mia.gonzalez4@example.com,N/A,Male,60,Netherlands,City_24,Individual,2023-01-16 10:13:48,True,35508.31,Bank Transfer,714,4.0,8183.49,8166.52,2045.87,6206.31,62.0,2022-03-07 05:37:34,2023-03-11 14:58:55,2.0,660.0,1029.0,0.1183,8708.38,17.0,13610.34,800.61,1,High,2026-05-07 22:22:23.740018,1,3,2,6,Need Attention
CUST00006,James,Thomas,james.thomas5@example.com,+44-7596-795847,Male,25,United Kingdom,City_38,Individual,2022-12-13 17:53:58,True,8050.68,Debit Card,748,4.0,22886.4,22825.15,5721.6,11212.83,92.0,2024-01-01 00:51:38,2024-10-20 00:55:05,4.0,71.0,364.0,0.3345,68847.82,10.0,13277.37,1327.74,0,VIP,2026-05-07 22:22:23.740018,4,3,5,12,Loyal
CUST00007,Evelyn,Harris,evelyn.harris6@example.com,+44-7144-466813,Non-binary,38,Sweden,City_32,Individual,2022-08-05 18:21:03,True,29026.27,PayPal,878,5.0,14504.83,14449.93,2900.97,10275.2,79.0,2024-02-23 04:27:40,2024-12-27 06:11:42,2.0,3.0,311.0,0.4894,51070.06,5.0,5311.55,1062.31,0,VIP,2026-05-07 22:22:23.740018,5,4,4,13,Champion
CUST00008,Benjamin,Anderson,benjamin.anderson7@example.com,+44-7317-787923,Male,56,Germany,City_50,SMB,2022-06-09 05:17:49,True,30532.39,PayPal,935,7.0,20592.35,20486.55,2941.76,5975.89,113.0,2024-03-07 21:28:37,2024-10-14 22:37:14,5.0,76.0,297.0,0.7174,75921.29,15.0,14315.29,954.35,0,VIP,2026-05-07 22:22:23.740018,3,5,5,13,Loyal
CUST00009,Richard,Clark,richard.clark8@example.com,+44-7715-794299,Non-binary,36,Italy,City_50,Individual,2024-11-17 05:11:07,True,21494.47,Debit Card,43,1.0,4118.35,4105.64,4118.35,4118.35,24.0,2024-11-24 06:34:52,2024-11-24 06:34:52,1.0,36.0,36.0,0.8456,125266.48,13.0,13617.96,1047.54,0,High,2026-05-07 22:22:23.740018,4,1,1,6,New Customer
CUST00010,Emma,Williams,emma.williams9@example.com,+44-7401-235215,Non-binary,40,Belgium,City_13,Startup,2024-04-27 04:44:17,False,36953.99,Bank Transfer,247,6.0,16058.37,15987.199999999999,2676.4,5138.61,112.0,2024-02-29 02:08:03,2024-12-14 04:06:04,4.0,16.0,305.0,0.5988,57652.18,19.0,15295.11,805.01,0,VIP,2026-05-07 22:22:23.740018,5,5,4,14,Champion
CUST00011,Mia,Lee,mia.lee10@example.com,+44-7609-843266,Prefer not to say,28,Germany,City_47,Enterprise,2022-05-16 01:18:52,True,46751.17,Bank Transfer,959,6.0,19984.11,19918.579999999998,3330.68,7708.94,82.0,2024-01-22 11:41:15,2024-09-24 16:16:31,4.0,97.0,343.0,0.5325,63797.67,12.0,11120.47,926.71,1,VIP,2026-05-07 22:22:23.740018,3,5,5,13,Loyal
CUST00012,Robert,Walker,robert.walker11@example.com,+44-7960-188834,Prefer not to say,28,Germany,City_35,Individual,2024-07-06 07:09:23,True,46315.64,PayPal,177,5.0,8910.48,8845.27,1782.1,3674.01,73.0,2024-02-02 11:06:39,2024-10-26 15:06:58,4.0,65.0,332.0,0.4584,29388.48,16.0,12653.67,790.85,0,High,2026-05-07 22:22:23.740018,4,4,2,10,Need Attention
CUST00013,Olivia,Harris,olivia.harris12@example.com,+44-7317-686072,Female,41,France,City_49,Enterprise,2023-10-18 10:23:08,True,22816.55,PayPal,439,6.0,31029.95,30955.239999999998,5171.66,8627.96,99.0,2024-03-10 11:16:09,2024-11-06 07:27:19,5.0,54.0,295.0,0.6191,115178.97,11.0,10509.99,955.45,0,VIP,2026-05-07 22:22:23.740018,4,5,5,14,Champion
CUST00014,Liam,Harris,liam.harris13@example.com,+44-7385-774751,Prefer not to say,70,Netherlands,City_16,SMB,2022-02-19 08:56:39,True,6105.28,PayPal,1045,2.0,15658.57,15633.690000000002,7829.28,11548.26,49.0,2024-04-20 09:41:35,2024-10-23 02:31:32,2.0,68.0,254.0,0.2397,67504.47,10.0,11105.02,1110.5,0,VIP,2026-05-07 22:22:23.740018,4,1,4,9,New Customer
CUST00015,Linda,Martinez,linda.martinez14@example.com,+44-7810-444432,Non-binary,53,Italy,City_10,Enterprise,2022-02-16 06:55:15,True,49249.64,Bank Transfer,1048,4.0,10573.76,10505.67,2643.44,7144.62,55.0,2022-02-24 14:40:21,2024-01-02 06:17:39,2.0,363.0,1040.0,0.1171,11132.95,9.0,6140.23,682.25,1,VIP,2026-05-07 22:22:23.740018,1,3,3,7,At Risk
CUST00016,Karen,Young,karen.young15@example.com,+44-7832-234001,Female,57,Netherlands,City_1,Individual,2022-05-26 13:12:42,True,42025.46,Bank Transfer,949,4.0,22920.21,22885.82,5730.05,9473.5,84.0,2024-02-08 16:22:15,2024-08-03 12:24:34,3.0,149.0,326.0,0.3735,76986.59,6.0,8800.6,1466.77,1,VIP,2026-05-07 22:22:23.740018,2,3,5,10,At Risk
CUST00017,Logan,Williams,logan.williams16@example.com,+44-7686-836971,Male,41,Sweden,City_27,SMB,2022-12-06 15:24:52,True,6670.8,PayPal,755,2.0,3912.16,3891.75,1956.08,3126.18,23.0,2024-06-07 16:19:37,2024-09-16 00:51:30,2.0,105.0,206.0,0.2955,20795.22,10.0,6553.78,655.38,1,High,2026-05-07 22:22:23.740018,3,1,1,5,Promising
CUST00018,Karen,Rodriguez,karen.rodriguez17@example.com,+44-7848-874661,Non-binary,20,Spain,Unknown,SMB,2022-12-28 10:13:36,False,46081.67,PayPal,733,4.0,5445.64,5395.87,1361.41,3430.58,55.0,2024-01-10 04:54:15,2024-04-20 11:33:57,2.0,254.0,355.0,0.343,16797.11,13.0,15435.66,1187.36,1,High,2026-05-07 22:22:23.740018,2,3,2,7,Need Attention
CUST00019,Lucas,Allen,lucas.allen18@example.com,+44-7701-651963,Female,39,Australia,City_15,SMB,2024-02-25 01:00:38,False,43559.87,Bank Transfer,309,6.0,15148.08,15069.369999999999,2524.68,4684.55,87.0,2024-01-13 18:16:31,2024-09-26 22:20:46,5.0,94.0,352.0,0.5189,47122.58,13.0,14518.55,1116.81,1,VIP,2026-05-07 22:22:23.740018,3,5,4,12,Loyal
CUST00020,Liam,Perez,liam.perez19@example.com,+44-7095-777406,Prefer not to say,70,Sweden,City_35,SMB,2024-07-24 04:53:06,True,26182.48,Credit Card,159,4.0,17487.02,17433.25,4371.76,9475.0,70.0,2024-07-21 04:48:04,2024-09-15 02:34:31,3.0,106.0,162.0,0.7516,118199.3,6.0,5201.61,866.94,1,VIP,2026-05-07 22:22:23.740018,3,3,4,10,Loyal
CUST00021,Sophia,Miller,sophia.miller20@example.com,+44-7686-543973,Non-binary,19,Netherlands,City_23,SMB,2022-02-11 05:19:57,True,29768.13,Bank Transfer,1053,5.0,25104.65,25034.4,5020.93,11473.1,99.0,2024-02-01 22:36:23,2024-08-04 14:08:58,5.0,148.0,332.0,0.4584,82799.98,13.0,14670.33,1128.49,1,VIP,2026-05-07 22:22:23.740018,2,4,5,11,At Risk
CUST00022,Charles,Lewis,charles.lewis21@example.com,+44-7520-479404,Female,41,Sweden,City_41,Enterprise,2024-05-21 20:43:57,True,20250.63,Debit Card,222,3.0,10196.42,10158.42,3398.81,7504.05,31.0,2024-03-17 06:07:26,2024-11-15 13:02:40,3.0,45.0,288.0,0.3171,38767.64,9.0,6543.48,727.05,0,VIP,2026-05-07 22:22:23.740018,4,2,3,9,New Customer
CUST00023,Abigail,Miller,abigail.miller22@example.com,+44-7018-480211,Male,61,Germany,City_45,Individual,2022-11-05 21:12:17,True,3210.7,Debit Card,785,4.0,13696.15,13644.43,3424.04,6944.05,73.0,2024-01-21 23:34:25,2024-04-09 05:01:32,3.0,265.0,343.0,0.355,43723.86,15.0,20946.83,1396.46,1,VIP,2026-05-07 22:22:23.740018,1,3,4,8,At Risk
CUST00024,William,King,william.king23@example.com,+44-7316-289019,Non-binary,47,Sweden,City_1,Enterprise,2024-10-06 13:26:52,True,17092.26,Bank Transfer,85,3.0,2365.71,2326.94,788.57,1290.79,19.0,2024-02-10 00:59:16,2024-08-18 07:57:18,2.0,134.0,324.0,0.2819,7995.22,7.0,7148.33,1021.19,1,High,2026-05-07 22:22:23.740018,2,2,1,5,Lost
CUST00025,Richard,Robinson,richard.robinson24@example.com,+44-7973-324597,Non-binary,55,Sweden,City_22,Individual,2024-04-26 12:53:27,True,40241.25,Debit Card,248,4.0,21133.29,21096.19,5283.32,9339.53,66.0,2024-01-08 00:59:21,2024-11-07 07:03:42,3.0,53.0,357.0,0.3411,64820.6,7.0,7773.94,1110.56,0,VIP,2026-05-07 22:22:23.740018,4,3,5,12,Loyal
CUST00026,Lucas,Smith,lucas.smith25@example.com,+44-7349-903373,Female,19,Netherlands,City_1,SMB,2023-10-14 16:49:57,True,729.29,Credit Card,443,4.0,16664.38,16634.23,4166.1,8838.18,54.0,2024-02-20 12:22:39,2024-07-26 18:17:19,3.0,157.0,314.0,0.3878,58113.04,8.0,5874.8,734.35,1,VIP,2026-05-07 22:22:23.740018,2,3,4,9,At Risk
CUST00027,Aiden,Martinez,aiden.martinez26@example.com,+44-7497-301332,Female,38,Germany,City_49,SMB,2022-12-09 10:37:19,True,17008.21,Credit Card,752,3.0,12649.02,12603.3,4216.34,6677.85,61.0,2024-05-09 06:30:13,2024-09-11 21:20:40,3.0,109.0,235.0,0.3886,58939.05,9.0,8697.91,966.43,1,VIP,2026-05-07 22:22:23.740018,3,2,3,8,Potential Loyal
CUST00028,Elizabeth,Clark,elizabeth.clark27@example.com,+44-7231-244247,Prefer not to say,50,Italy,City_43,Startup,2023-11-29 19:43:37,True,20209.35,Credit Card,397,5.0,5220.01,5148.5,1044.0,2341.13,48.0,2024-01-11 05:44:19,2024-04-28 08:47:13,3.0,246.0,354.0,0.4299,16146.64,13.0,18910.38,1454.64,1,High,2026-05-07 22:22:23.740018,2,4,2,8,Need Attention
CUST00029,Karen,Martinez,karen.martinez28@example.com,+44-7158-180913,Prefer not to say,29,United Kingdom,City_25,Startup,2024-07-04 09:25:01,False,27101.08,Debit Card,179,4.0,9866.3,9807.06,2466.57,4056.13,51.0,2024-08-24 04:22:48,2024-10-15 20:43:06,3.0,75.0,128.0,0.9512,84403.11,16.0,18584.38,1161.52,0,High,2026-05-07 22:22:23.740018,3,3,3,9,Potential Loyal
CUST00030,Sophia,Jones,sophia.jones29@example.com,+44-7302-985447,Non-binary,39,Germany,City_48,Enterprise,2023-03-09 03:42:04,True,46032.85,PayPal,662,2.0,12047.0,12028.52,6023.5,7977.54,33.0,2024-02-12 10:46:14,2024-12-30 11:30:17,2.0,0.0,322.0,0.1891,40967.28,2.0,3783.9,1891.95,0,VIP,2026-05-07 22:22:23.740018,5,1,3,9,New Customer
CUST00031,Abigail,Walker,abigail.walker30@example.com,+44-7807-206053,Male,61,United Kingdom,Unknown,Enterprise,2022-01-11 02:17:28,True,17644.13,Credit Card,1084,3.0,6008.15,5961.6,2002.72,4025.63,31.0,2024-04-10 06:57:29,2024-05-18 01:39:53,3.0,226.0,264.0,0.3459,24920.17,14.0,17349.2,1239.23,1,High,2026-05-07 22:22:23.740018,2,2,2,6,Lost
CUST00032,James,Taylor,james.taylor31@example.com,+44-7519-908320,Prefer not to say,46,Netherlands,City_20,Individual,2022-09-06 00:31:50,True,17674.18,Credit Card,846,4.0,5979.99,5926.56,1495.0,3771.42,28.0,2024-02-05 03:49:43,2024-09-01 09:30:05,4.0,120.0,329.0,0.3701,19903.01,9.0,8631.85,959.09,1,High,2026-05-07 22:22:23.740018,3,3,2,8,Need Attention
CUST00033,Karen,Perez,karen.perez32@example.com,+44-7552-975686,Male,66,Germany,City_7,Individual,2023-10-19 12:12:24,True,37006.31,PayPal,438,5.0,17848.17,17788.62,3569.63,7426.44,67.0,2024-01-09 13:23:46,2024-11-08 10:03:01,4.0,52.0,356.0,0.4275,54898.16,15.0,12259.03,817.27,0,VIP,2026-05-07 22:22:23.740018,4,4,4,12,Champion
CUST00034,Charles,Sanchez,charles.sanchez33@example.com,+44-7756-652108,Female,44,France,City_14,Startup,2023-06-13 13:27:31,True,22884.79,Bank Transfer,566,3.0,2598.14,2554.0800000000004,866.05,2116.58,17.0,2024-02-27 23:37:21,2024-12-03 11:06:26,3.0,27.0,306.0,0.2984,9297.27,8.0,9104.84,1138.1,0,High,2026-05-07 22:22:23.740018,5,2,1,8,New Customer
CUST00035,Susan,Garcia,susan.garcia34@example.com,+44-7038-794083,Female,59,Spain,City_34,Startup,2023-03-08 15:47:40,True,11617.94,PayPal,663,1.0,7189.12,7185.76,7189.12,7189.12,17.0,2023-04-24 02:35:32,2023-04-24 02:35:32,1.0,616.0,616.0,0.0494,12779.36,1.0,699.86,699.86,1,High,2026-05-07 22:22:23.740018,1,1,2,4,Lost
CUST00036,Mia,Perez,mia.perez35@example.com,+44-7344-903531,Prefer not to say,45,Australia,City_16,Individual,2022-08-30 12:41:45,True,22895.76,Bank Transfer,853,2.0,14073.89,14049.369999999999,7036.94,9641.93,44.0,2024-07-25 06:33:34,2024-08-20 08:10:47,1.0,132.0,158.0,0.3853,97537.4,2.0,1321.13,660.56,1,VIP,2026-05-07 22:22:23.740018,2,1,4,7,Need Attention
CUST00037,Liam,Harris,liam.harris36@example.com,+44-7632-237414,Non-binary,33,France,City_27,Enterprise,2022-12-01 11:28:43,True,7472.42,Bank Transfer,760,4.0,11211.74,11173.539999999999,2802.94,6162.9,64.0,2024-01-15 07:43:29,2024-09-08 19:25:32,4.0,113.0,350.0,0.3479,35076.73,20.0,22543.17,1127.16,1,VIP,2026-05-07 22:22:23.740018,3,3,3,9,Potential Loyal
CUST00038,Amelia,Lee,amelia.lee37@example.com,+44-7611-495019,Female,32,Australia,City_32,Individual,2023-06-07 21:09:15,True,9231.16,PayPal,571,2.0,12461.86,12420.199999999999,6230.93,10149.8,37.0,2022-04-20 09:09:42,2022-05-29 00:16:27,2.0,946.0,985.0,0.0618,13853.54,5.0,3362.79,672.56,1,VIP,2026-05-07 22:22:23.740018,1,1,3,5,Need Attention
CUST00039,Mason,Young,mason.young38@example.com,+44-7157-270128,Male,64,France,City_4,Enterprise,2022-06-08 18:40:31,True,25169.2,Credit Card,936,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,1,No Revenue,2026-05-07 22:22:23.740018,1,1,1,3,Lost
CUST00040,Mason,Williams,mason.williams39@example.com,+44-7185-971728,Non-binary,68,Netherlands,City_10,Individual,2022-05-25 01:48:56,True,21236.81,Bank Transfer,950,5.0,21469.97,21400.690000000002,4293.99,7833.1,82.0,2024-04-05 14:21:12,2024-12-22 05:52:28,4.0,8.0,269.0,0.5658,87396.35,11.0,10111.31,919.21,0,VIP,2026-05-07 22:22:23.740018,5,4,5,14,Champion
CUST00041,Susan,Jones,susan.jones40@example.com,+44-7709-908554,Prefer not to say,61,Australia,City_46,SMB,2023-08-14 04:42:59,False,45784.87,PayPal,504,5.0,16667.73,16611.61,3333.55,7742.37,98.0,2022-03-28 20:56:58,2024-01-12 22:38:32,3.0,352.0,1007.0,0.1511,18124.29,17.0,16644.51,979.09,1,VIP,2026-05-07 22:22:23.740018,1,4,4,9,At Risk
CUST00042,Logan,Thomas,logan.thomas41@example.com,+44-7639-948343,Female,72,Belgium,City_18,SMB,2022-05-31 05:50:52,True,18438.5,Credit Card,944,3.0,5987.47,5951.610000000001,1995.82,3347.56,68.0,2024-06-27 17:41:02,2024-11-22 16:22:50,3.0,38.0,186.0,0.491,35248.82,5.0,4638.54,927.71,0,High,2026-05-07 22:22:23.740018,4,2,2,8,New Customer
CUST00043,Ethan,Jackson,ethan.jackson42@example.com,+44-7924-273580,Prefer not to say,69,Sweden,City_6,Enterprise,2023-07-12 15:43:16,True,29239.12,Bank Transfer,537,3.0,9363.05,9328.53,3121.02,7232.04,64.0,2024-04-22 21:32:54,2024-08-04 21:28:32,2.0,147.0,251.0,0.3638,40846.77,11.0,8505.64,773.24,1,High,2026-05-07 22:22:23.740018,2,2,3,7,Need Attention
